Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/feedback),Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/goal),Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/result),Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/status),Counter(/EffortJointInterface_trajectory_gripper/gains/panda_finger_joint1/parameter_updates),Counter(/EffortJointInterface_trajectory_gripper/gains/panda_finger_joint2/parameter_descriptions),Counter(/EffortJointInterface_trajectory_gripper/gains/panda_finger_joint2/parameter_updates),Counter(/EffortJointInterface_trajectory_gripper/state),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/cancel),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/feedback),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/goal),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/result),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/status),Counter(/PositionJointInterface_trajectory_controller/state),Counter(/camera/rgb_camera_info),Counter(/camera/rgb_image/compressed),Counter(/camera/rgb_image/compressed/parameter_descriptions),Counter(/camera/rgb_image/compressed/parameter_updates),Counter(/camera/rgb_image/compressedDepth/parameter_updates),Counter(/camera/rgb_image/theora),Counter(/camera_ir/depth/camera_info),Counter(/camera_ir/parameter_updates),Counter(/clock),Counter(/execute_trajectory/feedback),Counter(/execute_trajectory/goal),Counter(/execute_trajectory/result),Counter(/execute_trajectory/status),Counter(/joint_states),Counter(/move_group/display_planned_path),Counter(/move_group/feedback),Counter(/move_group/goal),Counter(/move_group/monitored_planning_scene),Counter(/move_group/ompl/parameter_descriptions),Counter(/move_group/ompl/parameter_updates),Counter(/move_group/planning_scene_monitor/parameter_descriptions),Counter(/move_group/planning_scene_monitor/parameter_updates),Counter(/move_group/result),Counter(/move_group/sense_for_plan/parameter_descriptions),Counter(/move_group/sense_for_plan/parameter_updates),Counter(/move_group/status),Counter(/move_group/trajectory_execution/parameter_descriptions),Counter(/move_group/trajectory_execution/parameter_updates),Counter(/pickup/status),Counter(/place/status),Counter(/rosout),Counter(/rosout_agg),Counter(/statistics),Counter(/tf),Counter(/tf_static)
0,0,0,3,1,1,1,14,0,0,0,0,3,13,2,2,1,1,1,5,2,1,499,0,0,0,2,25,1,0,0,3,1,1,1,1,0,1,1,3,1,1,2,3,11,3,1,29,1
0,0,0,3,0,0,0,12,0,0,0,0,2,12,1,2,0,0,0,2,2,0,483,0,0,0,3,25,0,0,0,2,0,0,0,0,0,0,0,3,0,0,3,2,2,2,10,25,0
0,0,0,2,0,0,0,13,0,0,0,0,3,13,1,1,0,0,0,1,1,0,484,0,0,0,2,25,0,1,1,0,0,0,0,0,0,0,0,3,0,0,2,3,7,7,17,25,0
0,0,0,3,0,0,0,11,0,11,1,0,3,11,2,2,0,0,0,2,1,0,489,1,1,0,4,23,1,1,0,3,0,0,0,0,1,0,0,4,0,0,2,2,6,6,6,23,0
0,0,0,1,0,0,0,12,0,15,0,0,3,12,1,1,0,0,0,2,2,0,474,0,0,0,1,25,0,0,0,2,0,0,0,0,0,0,0,1,0,0,3,3,1,1,6,25,0
0,0,0,3,0,0,0,11,0,14,0,0,2,10,2,2,0,0,0,1,1,0,483,0,0,0,3,23,0,0,0,2,0,0,0,0,0,0,0,3,0,0,2,2,2,2,6,23,0
0,0,0,2,0,0,0,14,0,16,0,0,3,14,1,1,0,0,0,2,1,0,498,0,0,0,2,27,0,0,0,2,0,0,0,0,0,0,0,2,0,0,3,3,1,1,19,27,0
0,0,0,3,0,0,0,12,0,15,0,0,2,12,2,1,0,0,0,2,2,0,497,0,0,0,3,25,0,0,0,2,0,0,0,0,0,0,0,3,0,0,3,2,2,2,4,24,0
0,0,0,2,0,0,0,13,0,15,0,0,3,13,2,1,0,0,0,1,2,0,494,0,0,0,2,25,0,0,0,2,0,0,0,0,0,0,0,2,0,0,3,3,2,2,5,25,0
0,0,0,3,0,0,0,12,0,15,0,0,2,12,1,2,0,0,0,2,2,0,495,0,0,0,3,25,0,0,0,2,0,0,0,0,0,0,0,3,0,0,3,2,3,3,4,25,0
0,0,0,2,0,0,0,13,1,13,1,1,6,13,2,1,0,0,0,2,2,0,486,2,1,1,4,24,1,0,0,2,0,0,0,0,0,0,0,2,0,0,2,3,12,12,20,25,0
0,0,0,3,0,0,0,12,0,15,0,0,2,12,1,1,0,0,0,2,1,0,491,0,0,0,3,25,0,0,0,2,0,0,0,0,0,0,0,3,0,0,3,2,1,1,5,26,0
0,0,0,2,0,0,0,13,0,15,0,0,3,13,2,2,0,0,0,2,1,0,496,0,0,0,2,25,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,3,2,2,5,24,0
0,0,0,3,0,0,0,12,0,15,0,0,2,12,2,2,0,0,0,1,2,0,505,0,0,0,3,25,0,0,0,2,0,0,0,0,0,0,0,3,0,0,3,2,3,3,3,26,0
0,0,0,2,0,0,0,13,0,15,0,0,3,13,0,1,0,0,0,2,1,0,494,0,0,0,2,25,0,0,0,2,0,0,0,0,0,0,0,2,0,0,3,3,2,2,21,25,0
0,0,0,3,0,0,0,11,0,15,0,0,2,11,2,2,0,0,0,1,1,0,491,0,0,0,3,24,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,2,2,2,5,24,0
0,0,0,2,0,0,0,13,0,15,0,0,3,13,2,1,0,0,0,2,2,0,498,0,0,0,2,25,0,0,0,2,0,0,0,0,0,0,0,2,0,0,3,3,1,1,6,25,0
0,0,0,3,0,0,0,12,0,15,0,0,2,12,1,2,0,0,0,2,1,0,505,0,0,0,3,25,0,0,0,2,0,0,0,0,0,0,0,3,0,0,2,2,2,2,2,25,0
0,0,0,2,0,0,0,13,0,15,0,0,3,13,2,2,0,0,0,1,2,0,475,0,0,0,2,25,0,0,0,2,0,0,0,0,0,0,0,2,0,0,3,3,2,2,11,24,0
0,0,0,3,0,0,0,12,0,15,0,0,2,12,2,2,0,0,0,2,2,0,477,0,0,0,3,25,0,0,0,2,0,0,0,0,0,0,0,3,0,0,3,2,1,1,7,25,0
3,1,0,3,0,0,0,13,1,11,0,1,5,13,2,2,0,0,0,3,2,0,485,2,1,1,4,25,1,2,1,2,0,0,0,0,1,0,0,4,0,0,3,3,15,15,21,24,0
14,0,0,3,0,0,0,12,0,0,0,0,2,12,1,1,0,0,0,1,1,0,487,0,0,0,3,24,0,0,0,2,0,0,0,0,0,0,0,3,0,0,2,2,1,1,2,24,0
15,0,0,2,0,0,0,13,0,0,0,0,3,13,3,3,0,0,0,3,2,0,496,0,0,0,2,25,0,0,0,2,0,0,0,0,0,0,0,2,0,0,3,3,3,3,15,25,0
15,0,0,3,0,0,0,12,0,0,0,0,2,12,1,1,0,0,0,2,1,0,473,0,0,0,3,25,0,0,0,1,0,0,0,0,0,0,0,3,0,0,2,1,1,1,6,25,0
15,0,0,2,0,0,0,13,0,0,0,0,3,13,2,3,0,0,0,3,3,0,493,0,0,0,2,25,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,3,2,2,8,25,0
3,0,1,4,0,0,0,12,0,0,0,0,2,12,3,3,0,0,0,3,3,0,483,1,0,1,4,25,0,1,1,1,0,0,0,0,0,0,0,4,0,0,3,2,14,14,6,25,0
0,0,0,2,0,0,0,13,0,2,2,1,6,13,3,3,0,0,0,3,3,0,497,3,2,1,5,25,2,3,1,3,0,0,0,0,2,0,0,5,0,0,2,3,20,20,11,25,0
0,0,0,3,0,0,0,11,0,14,0,0,2,11,3,2,0,0,0,3,2,0,487,0,0,0,3,24,0,0,0,2,0,0,0,0,0,0,0,3,0,0,2,1,1,1,7,24,0
0,0,0,2,0,0,0,13,0,16,0,0,3,13,2,2,0,0,0,3,2,0,502,0,0,0,2,25,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,3,2,2,8,25,0
0,0,0,3,0,0,0,11,0,16,0,0,1,11,2,2,0,0,0,2,2,0,475,0,0,0,3,24,0,0,0,2,0,0,0,0,0,0,0,3,0,0,3,2,2,2,1,24,0
0,0,0,2,0,0,0,13,0,16,0,0,3,13,2,2,0,0,0,2,2,0,486,0,0,0,2,25,0,0,0,2,0,0,0,0,0,0,0,2,0,0,3,3,5,4,11,25,0
0,0,0,3,0,0,0,12,0,16,0,0,2,12,3,2,0,0,0,3,3,0,483,0,0,0,3,25,0,0,0,2,0,0,0,0,0,0,0,3,0,0,3,2,3,2,14,25,0
0,0,0,2,0,0,0,13,1,14,1,1,6,13,3,3,0,0,0,3,3,0,488,2,1,1,4,25,1,3,2,1,0,0,0,0,1,0,0,5,0,0,2,3,24,24,16,25,0
0,0,0,3,0,0,0,12,1,14,1,1,5,12,3,3,0,0,0,2,3,0,495,2,1,1,5,25,1,1,0,2,0,0,0,0,1,0,0,4,0,0,3,2,11,11,3,25,0
0,0,0,2,0,0,0,13,0,6,0,1,4,13,2,2,0,0,0,3,2,0,501,1,0,1,3,25,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,3,6,6,8,25,0
9,1,1,5,0,0,0,12,0,0,0,0,2,12,2,2,0,0,0,2,1,0,500,2,1,1,5,25,1,2,1,2,0,0,0,0,1,0,0,5,0,0,3,2,13,13,9,25,0
0,0,0,2,0,0,0,13,0,10,1,0,4,13,2,2,0,0,0,2,2,0,495,1,1,0,3,25,1,0,0,2,0,0,0,0,0,0,0,2,0,0,2,3,6,6,15,25,0
0,0,0,3,0,0,0,12,0,15,0,0,2,12,2,2,0,0,0,2,2,0,475,0,0,0,3,25,0,0,0,2,0,0,0,0,0,0,0,3,0,0,3,2,1,1,1,25,0
0,0,0,2,0,0,0,13,0,15,0,0,3,13,2,2,0,0,0,1,1,0,499,0,0,0,2,25,0,0,0,2,0,0,0,0,0,0,0,2,0,0,3,3,2,2,6,25,0
0,0,0,3,0,0,0,12,0,15,0,0,2,12,1,1,0,0,0,2,1,0,482,0,0,0,3,25,0,0,0,2,0,0,0,0,0,0,0,3,0,0,2,2,1,1,13,25,0
0,0,0,2,0,0,0,13,0,14,0,0,3,13,1,2,0,0,0,1,2,0,472,0,0,0,2,25,0,0,0,2,0,0,0,0,0,0,0,2,0,0,3,3,3,3,11,24,0
0,0,0,3,0,0,0,12,0,16,0,0,2,12,1,1,0,0,0,2,0,0,491,0,0,0,3,25,0,0,0,2,0,0,0,0,0,0,0,3,0,0,3,2,1,1,4,24,0
0,0,0,2,0,0,0,13,0,15,0,0,3,13,2,2,0,0,0,2,1,0,494,0,0,0,2,25,0,0,0,2,0,0,0,0,0,0,0,2,0,0,3,3,2,2,5,26,0
0,0,0,3,0,0,0,12,0,15,0,0,2,12,2,2,0,0,0,2,0,0,474,0,0,0,3,25,0,0,0,2,0,0,0,0,0,0,0,3,0,0,3,2,2,2,4,23,0
0,0,0,2,0,0,0,13,0,7,0,1,4,13,2,2,0,0,0,2,2,0,499,1,0,1,3,25,0,2,1,1,0,0,0,0,0,0,0,3,0,0,2,3,14,14,11,26,0
0,0,0,3,0,0,0,12,0,4,1,0,3,12,2,2,0,0,0,1,2,0,500,0,0,0,3,25,1,1,0,2,0,0,0,0,0,0,0,3,0,0,3,2,5,5,7,25,0
0,0,0,2,0,0,0,13,0,15,0,0,3,13,2,1,0,0,0,2,2,0,499,0,0,0,2,25,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,3,1,1,5,25,0
0,0,0,3,0,0,0,12,0,15,0,0,2,12,0,2,0,0,0,2,1,0,501,0,0,0,3,25,0,0,0,2,0,0,0,0,0,0,0,3,0,0,3,2,2,2,9,25,0
0,0,0,2,0,0,0,13,0,15,0,0,3,13,1,2,0,0,0,2,1,0,476,0,0,0,2,25,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,3,1,1,9,25,0
0,0,0,3,0,0,0,12,0,15,0,0,2,12,2,2,0,0,0,2,1,0,470,0,0,0,3,25,0,0,0,2,0,0,0,0,0,0,0,3,0,0,2,2,2,2,9,24,0
0,0,0,2,0,0,0,13,0,14,0,0,3,13,2,2,0,0,0,1,2,0,492,0,0,0,2,25,0,0,0,2,0,0,0,0,0,0,0,2,0,0,3,3,3,3,4,24,0
0,0,0,3,0,0,0,12,0,14,0,1,3,12,0,1,0,0,0,2,1,0,499,0,0,0,3,25,0,1,0,2,0,0,0,0,1,0,0,4,0,0,2,2,3,3,8,24,0
